,CP,CP_CI_HP,Date,HP,LP,emaCP5,emaCP_CI_HP5,emaCP20,emaCP_CI_HP20,minHP3,avCP_CI_HP50,avCP_CI_HP10
0,8356.55,9131.7,,8356.55,8356.55,8549.127936356157,8932.826084504304,8919.148083265783,9048.504988567589,8356.55,10505.747000000001,8670.545000000002
1,8793.35,9131.7,,9131.7,8793.35,8645.416904534235,8833.389126756456,8978.368934135866,9039.747618943124,9131.7,10564.229000000003,8589.160000000002
2,8793.35,9131.7,,9131.7,8653.9,8571.450356801352,8684.233690134684,8997.844611413326,9030.068420937136,8819.4,10623.975000000004,8456.095000000003
3,8792.2,8792.2,2020-04-07,8819.4,8360.95,8460.500535202027,8460.500535202027,9019.37035998315,9019.37035998315,8356.55,10686.306000000006,8303.950000000003
4,8083.8,8083.8,2020-04-03,8356.55,8055.8,8294.65080280304,8294.65080280304,9043.28302945506,9043.28302945506,8356.55,10754.069000000003,8299.275000000005
5,8253.8,8253.8,2020-04-01,8588.1,8198.35,8400.07620420456,8400.07620420456,9144.281243081909,9144.281243081909,8576.0,10834.531000000003,8317.240000000003
6,8597.75,8597.75,2020-03-31,8678.3,8358.0,8473.214306306842,8473.214306306842,9238.01611077474,9238.01611077474,8576.0,10912.852000000003,8338.740000000003
7,8281.1,8281.1,2020-03-30,8576.0,8244.0,8410.946459460261,8410.946459460261,9305.41254348787,9305.41254348787,8576.0,10985.388000000003,8375.670000000004
8,8660.25,8660.25,2020-03-27,9038.9,8522.9,8475.869689190393,8475.869689190393,9413.234916486594,9413.234916486594,8376.75,11066.813000000002,8467.300000000003
9,8641.45,8641.45,2020-03-26,8749.05,8304.9,8383.679533785587,8383.679533785587,9492.496486643078,9492.496486643078,8036.95,11140.718000000003,8596.795000000002
10,8317.85,8317.85,2020-03-25,8376.75,7714.75,8254.794300678379,8254.794300678379,9582.08032734235,9582.08032734235,8036.95,11214.755000000005,8691.665000000003
11,7801.05,7801.05,2020-03-24,8036.95,7511.1,8223.266451017567,8223.266451017567,9715.157203904702,9715.157203904702,8036.95,11295.644000000006,8905.720000000001
12,7610.25,7610.25,2020-03-23,8159.25,7583.6,8434.374676526351,8434.374676526351,9916.642172736776,9916.642172736776,8159.25,11386.214000000005,9170.76
13,8745.45,8745.45,2020-03-20,8883.0,8178.2,8846.437014789526,8846.437014789526,10159.420296182752,10159.420296182752,8575.45,11479.145000000008,9507.665
14,8263.45,8263.45,2020-03-19,8575.45,7832.55,8896.930522184288,8896.930522184288,10308.259274728305,10308.259274728305,8575.45,11548.55400000001,9760.02
15,8468.8,8468.8,2020-03-18,9127.55,8407.05,9213.670783276431,9213.670783276431,10523.502356278654,10523.502356278654,9127.55,11623.792000000009,10059.095000000001
16,8967.05,8967.05,2020-03-17,9403.8,8915.6,9586.106174914647,9586.106174914647,10739.786814834302,10739.786814834302,9403.8,11695.475000000008,10342.545000000002
17,9197.4,9197.4,2020-03-16,9602.2,9165.1,9895.634262371968,9895.634262371968,10926.390690080018,10926.390690080018,9602.2,11755.995000000006,10559.115000000002
18,9955.2,9955.2,2020-03-13,10159.4,8555.15,10244.751393557952,10244.751393557952,11108.389710088439,11108.389710088439,10040.75,11816.580000000007,10759.550000000001
19,9590.15,9590.15,2020-03-12,10040.75,9508.0,10389.527090336927,10389.527090336927,11229.778100624064,11229.778100624064,10040.75,11863.120000000006,10927.360000000002
20,10458.4,10458.4,2020-03-11,10545.1,10334.0,10789.215635505388,10789.215635505388,11402.370532268702,11402.370532268702,10545.1,11914.967000000006,11136.195000000003
21,10451.45,10451.45,2020-03-09,10751.55,10294.45,10954.62345325808,10954.62345325808,11501.735851454881,11501.735851454881,10751.55,11949.168000000005,11270.145000000002
22,10979.3,10979.3,2020-03-06,11034.5,10827.4,11206.210179887119,11206.210179887119,11612.292256871186,11612.292256871186,11034.5,11985.256000000005,11407.940000000002
23,11269.0,11269.0,2020-03-05,11389.5,11244.6,11319.665269830679,11319.665269830679,11678.923020752363,11678.923020752363,11342.25,12010.586000000005,11518.095000000003
24,11254.2,11254.2,2020-03-04,11356.6,11082.15,11344.997904746017,11344.997904746017,11722.072812410506,11722.072812410506,11342.25,12027.737000000006,11603.785000000002
25,11303.3,11303.3,2020-03-03,11342.25,11152.55,11390.396857119023,11390.396857119023,11771.322582137927,11771.322582137927,11342.25,12046.944000000009,11677.615000000002
26,11132.75,11132.75,2020-03-02,11433.0,11036.25,11433.945285678534,11433.945285678534,11820.588117099815,11820.588117099815,11384.8,12066.133000000007,11751.865000000002
27,11201.75,11201.75,2020-02-28,11384.8,11175.05,11584.5429285178,11584.5429285178,11892.992129426111,11892.992129426111,11384.8,12088.914000000008,11849.935000000001
28,11633.3,11633.3,2020-02-27,11663.85,11536.7,11775.939392776698,11775.939392776698,11965.754458839385,11965.754458839385,11663.85,12110.073000000008,11947.225000000002
29,11678.5,11678.5,2020-02-26,11783.25,11639.6,11847.259089165047,11847.259089165047,12000.749665033005,12000.749665033005,11783.25,12121.840000000007,12004.015000000003
30,11797.9,11797.9,2020-02-25,11883.05,11779.9,11931.638633747569,11931.638633747569,12034.6706824049,12034.6706824049,11883.05,12131.570000000007,12046.955000000002
31,11829.4,11829.4,2020-02-24,12012.55,11813.4,11998.507950621351,11998.507950621351,12059.593912131731,12059.593912131731,12012.55,12136.691000000006,12070.315000000002
32,12080.85,12080.85,2020-02-20,12152.0,12071.45,12083.061925932026,12083.061925932026,12083.824850250861,12083.824850250861,12030.75,12141.837000000005,12097.210000000003
33,12125.9,12125.9,2020-02-19,12134.7,12042.1,12084.167888898039,12084.167888898039,12084.13799238253,12084.13799238253,12030.75,12139.656000000006,12102.920000000002
34,11992.5,11992.5,2020-02-18,12030.75,11908.05,12063.301833347057,12063.301833347057,12079.74199158069,12079.74199158069,12030.75,12135.341000000006,12099.245
35,12045.8,12045.8,2020-02-17,12159.6,12037.0,12098.702750020584,12098.702750020584,12088.9253591155,12088.9253591155,12159.6,12132.627000000006,12097.960000000001
36,12113.45,12113.45,2020-02-14,12246.7,12091.2,12125.154125030876,12125.154125030876,12093.464870601341,12093.464870601341,12225.65,12130.461000000005,12064.170000000002
37,12174.65,12174.65,2020-02-13,12225.65,12139.8,12131.006187546314,12131.006187546314,12091.361172769904,12091.361172769904,12172.3,12126.622000000007,12019.01
38,12201.2,12201.2,2020-02-12,12231.75,12144.3,12109.18428131947,12109.18428131947,12082.593927798314,12082.593927798314,12103.55,12123.497000000007,11997.755000000001
39,12107.9,12107.9,2020-02-11,12172.3,12099.0,12063.176421979206,12063.176421979206,12070.109078092873,12070.109078092873,12103.55,12120.337000000007,11981.215
40,12031.5,12031.5,2020-02-10,12103.55,11990.75,12040.814632968806,12040.814632968806,12066.131086313177,12066.131086313177,12103.55,12118.063000000006,11983.374999999998
41,12098.35,12098.35,2020-02-07,12154.7,12073.95,12045.47194945321,12045.47194945321,12069.776463819826,12069.776463819826,12098.15,12118.397000000004,11985.804999999998
42,12137.95,12137.95,2020-02-06,12160.6,12084.65,12019.032924179812,12019.032924179812,12066.768723169282,12066.768723169282,11986.15,12117.551000000005,11987.869999999999
43,12089.15,12089.15,2020-02-05,12098.15,11953.35,11959.574386269716,11959.574386269716,12059.275957187101,12059.275957187101,11749.85,12117.815000000008,11998.899999999998
44,11979.65,11979.65,2020-02-04,11986.15,11783.4,11894.786579404576,11894.786579404576,12056.131321101533,12056.131321101533,11749.85,12118.046000000006,12008.019999999999
45,11707.9,11707.9,2020-02-03,11749.85,11614.5,11852.354869106864,11852.354869106864,12064.181986480642,12064.181986480642,11749.85,12119.207000000004,12020.744999999999
46,11661.85,11661.85,2020-02-01,12017.35,11633.3,11924.582303660296,11924.582303660296,12101.685353478604,12101.685353478604,12017.35,12126.524000000003,12066.939999999999
47,11962.1,11962.1,2020-01-31,12103.55,11945.85,12055.948455490443,12055.948455490443,12147.98381173951,12147.98381173951,12103.55,12131.575000000004,12123.209999999997
48,12035.8,12035.8,2020-01-30,12150.3,12010.6,12102.872683235662,12102.872683235662,12167.550528764721,12167.550528764721,12150.3,12131.701000000006,12162.234999999997
49,12129.5,12129.5,2020-01-29,12169.6,12103.8,12136.409024853492,12136.409024853492,12181.419005476797,12181.419005476797,12163.55,12130.967000000004,12194.204999999998
50,12055.8,12055.8,2020-01-28,12163.55,12024.5,12139.863537280238,12139.863537280238,12186.884163948038,12186.884163948038,12163.55,12127.179000000004,12215.584999999995
51,12119.0,12119.0,2020-01-27,12216.6,12107.0,12181.895305920356,12181.895305920356,12200.6824969952,12200.6824969952,12189.0,12123.753000000002,12246.234999999997
52,12248.25,12248.25,2020-01-24,12272.15,12149.65,12213.342958880534,12213.342958880534,12209.28065457364,12209.28065457364,12189.0,12119.282000000001,12267.289999999997
53,12180.35,12180.35,2020-01-23,12189.0,12094.1,12195.889438320799,12195.889438320799,12205.17861821297,12205.17861821297,12189.0,12111.759000000002,12268.144999999999
54,12106.9,12106.9,2020-01-22,12225.05,12087.9,12203.659157481197,12203.659157481197,12207.792156972231,12207.792156972231,12225.05,12104.961000000001,12271.699999999997
55,12169.85,12169.85,2020-01-21,12230.05,12162.3,12252.038736221795,12252.038736221795,12218.41238402194,12218.41238402194,12230.05,12101.091999999999,12263.544999999996
56,12224.55,12224.55,2020-01-20,12430.5,12216.9,12293.13310433269,12293.13310433269,12223.524213918987,12223.524213918987,12385.45,12095.858,12251.854999999998
57,12352.35,12352.35,2020-01-17,12385.45,12321.4,12327.424656499032,12327.424656499032,12223.416236436775,12223.416236436775,12355.15,12091.608,12228.704999999998
58,12355.5,12355.5,2020-01-16,12389.05,12315.8,12314.961984748546,12314.961984748546,12209.844261324857,12209.844261324857,12355.15,12083.882000000001,12216.134999999998
59,12343.3,12343.3,2020-01-15,12355.15,12278.75,12294.692977122817,12294.692977122817,12194.51207830642,12194.51207830642,12337.75,12075.116000000002,12208.804999999998
60,12362.3,12362.3,2020-01-14,12374.25,12308.7,12270.389465684224,12270.389465684224,12178.850191812358,12178.850191812358,12311.2,12067.076000000001,12192.724999999999
61,12329.55,12329.55,2020-01-13,12337.75,12285.8,12224.434198526335,12224.434198526335,12159.539685687343,12159.539685687343,12224.05,12057.642,12173.34
62,12256.8,12256.8,2020-01-10,12311.2,12213.2,12171.876297789502,12171.876297789502,12141.643863128116,12141.643863128116,12044.95,12048.599999999999,12165.97
63,12215.9,12215.9,2020-01-09,12224.05,12132.55,12129.414446684252,12129.414446684252,12129.522164510025,12129.522164510025,12044.95,12040.336999999998,12164.869999999999
64,12025.35,12025.35,2020-01-08,12044.95,11929.6,12086.171670026379,12086.171670026379,12120.429760774237,12120.429760774237,12044.95,12031.755999999996,12155.935
65,12052.95,12052.95,2020-01-07,12152.15,12005.35,12116.582505039567,12116.582505039567,12130.43815664521,12130.43815664521,12152.15,12023.791999999998,12174.855
66,11993.05,11993.05,2020-01-06,12179.1,11974.2,12148.39875755935,12148.39875755935,12138.594804713128,12138.594804713128,12179.1,12014.410999999998,12195.835
67,12226.65,12226.65,2020-01-03,12265.6,12191.35,12226.073136339024,12226.073136339024,12153.915310472406,12153.915310472406,12222.2,12006.201999999997,12223.71
68,12282.2,12282.2,2020-01-02,12289.9,12195.25,12225.784704508536,12225.784704508536,12146.25902736424,12146.25902736424,12222.2,11993.750999999997,12227.015
69,12182.5,12182.5,2020-01-01,12222.2,12165.3,12197.577056762804,12197.577056762804,12131.949451297318,12131.949451297318,12222.2,11979.873999999996,12220.959999999997
70,12168.45,12168.45,2019-12-31,12247.1,12151.8,12205.115585144205,12205.115585144205,12126.628340907562,12126.628340907562,12247.1,11969.460999999996,12219.21
71,12255.85,12255.85,2019-12-30,12286.45,12213.8,12223.448377716308,12223.448377716308,12122.226061003095,12122.226061003095,12221.55,11957.818999999996,12207.759999999998
72,12245.8,12245.8,2019-12-27,12258.45,12157.9,12207.24756657446,12207.24756657446,12108.160383213946,12108.160383213946,12221.55,11941.981999999996,12190.845
73,12126.55,12126.55,2019-12-26,12221.55,12118.85,12187.97134986169,12187.97134986169,12093.672002499625,12093.672002499625,12221.55,11925.631999999998,12163.445000000002
74,12214.55,12214.55,2019-12-24,12283.7,12202.1,12218.682024792533,12218.682024792533,12090.21116065748,12090.21116065748,12283.7,11909.923999999997,12141.805
75,12262.75,12262.75,2019-12-23,12287.15,12213.25,12220.7480371888,12220.7480371888,12077.12286177932,12077.12286177932,12268.35,11891.733999999997,12106.030000000002
76,12271.8,12271.8,2019-12-20,12293.9,12252.75,12199.747055783198,12199.747055783198,12057.583163019248,12057.583163019248,12237.7,11871.169999999998,12073.505000000001
77,12259.7,12259.7,2019-12-19,12268.35,12191.15,12163.720583674796,12163.720583674796,12035.034022284432,12035.034022284432,12182.75,11851.999999999998,12038.475000000002
78,12221.65,12221.65,2019-12-18,12237.7,12163.45,12115.730875512194,12115.730875512194,12011.384971998581,12011.384971998581,12134.65,11829.333999999999,12014.345000000003
79,12165.0,12165.0,2019-12-17,12182.75,12070.35,12062.77131326829,12062.77131326829,11989.251811156326,11989.251811156326,12098.85,11808.395999999999,11996.500000000002
80,12053.95,12053.95,2019-12-16,12134.65,12046.3,12011.656969902433,12011.656969902433,11970.752001804361,11970.752001804361,12005.5,11791.375999999998,11979.420000000002
81,12086.7,12086.7,2019-12-13,12098.85,12023.6,11990.510454853647,11990.510454853647,11961.994317783769,11961.994317783769,11923.2,11777.495,11978.845000000003
82,11971.8,11971.8,2019-12-12,12005.5,11934.0,11942.415682280469,11942.415682280469,11948.86740386627,11948.86740386627,11923.2,11765.25,11975.780000000002
83,11910.15,11910.15,2019-12-11,11923.2,11832.3,11927.723523420702,11927.723523420702,11946.45344637851,11946.45344637851,11923.2,11756.062,11993.715
84,11856.8,11856.8,2019-12-10,11953.2,11844.7,11936.510285131053,11936.510285131053,11950.274861786775,11950.274861786775,11953.2,11749.282999999998,12012.77
85,11937.5,11937.5,2019-12-09,11981.95,11888.05,11976.365427696579,11976.365427696579,11960.114320922225,11960.114320922225,11981.95,11740.950999999995,12030.86
86,11921.5,11921.5,2019-12-06,12057.05,11888.85,11995.798141544867,11995.798141544867,11962.494775756144,11962.494775756144,12054.7,11733.964999999995,12044.485
87,12018.4,12018.4,2019-12-05,12081.2,11998.75,12032.9472123173,12032.9472123173,11966.810015309422,11966.810015309422,12054.7,11727.538999999995,12043.775
88,12043.2,12043.2,2019-12-04,12054.7,11935.3,12040.220818475947,12040.220818475947,11961.37949060515,11961.37949060515,12054.7,11712.653999999995,12038.775
89,11994.2,11994.2,2019-12-03,12067.65,12067.65,12038.73122771392,12038.73122771392,11952.766805405692,11952.766805405692,12067.65,11685.885999999997,12034.365
90,12048.2,12048.2,2019-12-02,12137.15,12023.7,12060.996841570879,12060.996841570879,11948.405416501028,11948.405416501028,12137.15,11662.814999999997,12028.954999999998
91,12056.05,12056.05,2019-11-29,12147.4,12017.4,12067.395262356318,12067.395262356318,11937.900723501134,11937.900723501134,12114.9,11638.202999999998,12012.585
92,12151.15,12151.15,2019-11-28,12158.8,12099.95,12073.067893534477,12073.067893534477,11925.463957553886,11925.463957553886,12114.9,11617.151999999996,11996.525
93,12100.7,12100.7,2019-11-27,12114.9,12055.15,12034.026840301714,12034.026840301714,11901.707532033242,11901.707532033242,12084.5,11595.646999999997,11968.619999999999
94,12037.7,12037.7,2019-11-26,12132.45,12006.35,12000.69026045257,12000.69026045257,11880.760956457792,11880.760956457792,11968.1,11573.288999999999,11942.595
95,12073.75,12073.75,2019-11-25,12084.5,11919.75,11982.185390678853,11982.185390678853,11864.241057137559,11864.241057137559,11968.1,11553.249,11930.169999999998
96,11914.4,11914.4,2019-11-22,11968.1,11883.5,11936.40308601828,11936.40308601828,11842.187484204669,11842.187484204669,11968.1,11531.835,11913.609999999999
97,11968.4,11968.4,2019-11-21,12028.2,11956.9,11947.404629027416,11947.404629027416,11834.586166752528,11834.586166752528,11958.85,11512.470999999998,11923.374999999998
98,11999.1,11999.1,2019-11-20,12038.6,11966.05,11936.906943541126,11936.906943541126,11820.500500094899,11820.500500094899,11946.2,11490.060999999998,11923.139999999998
99,11940.1,11940.1,2019-11-19,11958.85,11881.75,11905.81041531169,11905.81041531169,11801.700552736467,11801.700552736467,11946.2,11466.972,11914.949999999999
100,11884.5,11884.5,2019-11-18,11946.2,11867.6,11888.665622967534,11888.665622967534,11787.132189866621,11787.132189866621,11895.65,11444.128,11915.07
101,11895.45,11895.45,2019-11-15,11973.65,11879.25,11890.7484344513,11890.7484344513,11776.882946694686,11776.882946694686,11895.65,11426.903,11915.68
102,11872.1,11872.1,2019-11-14,11895.65,11802.65,11888.397651676947,11888.397651676947,11764.402204241496,11764.402204241496,11895.65,11407.960000000003,11913.880000000001
103,11840.45,11840.45,2019-11-13,11946.8,11823.2,11896.54647751542,11896.54647751542,11753.065594161655,11753.065594161655,11932.65,11391.440000000002,11911.035
104,11913.45,11913.45,2019-11-11,11932.65,11853.95,11924.594716273128,11924.594716273128,11743.867235652357,11743.867235652357,11932.65,11376.738000000003,11905.675
105,11908.15,11908.15,2019-11-08,12034.15,11888.75,11930.167074409692,11930.167074409692,11726.016418352605,11726.016418352605,12002.9,11359.626000000004,11877.045
106,12012.05,12012.05,2019-11-07,12021.4,11946.85,11941.175611614535,11941.175611614535,11706.844462389721,11706.844462389721,11978.95,11338.050000000003,11844.619999999999
107,11966.05,11966.05,2019-11-06,12002.9,11850.25,11905.738417421802,11905.738417421802,11674.717563693903,11674.717563693903,11978.95,11312.636,11801.675
108,11917.2,11917.2,2019-11-05,11978.95,11861.9,11875.582626132704,11875.582626132704,11644.050991451155,11644.050991451155,11918.3,11291.688999999998,11765.48
109,11941.3,11941.3,2019-11-04,11989.15,11905.35,11854.773939199054,11854.773939199054,11615.298464235486,11615.298464235486,11918.3,11273.685,11732.595000000001
110,11890.6,11890.6,2019-11-01,11918.3,11843.35,11811.510908798582,11811.510908798582,11580.982513102379,11580.982513102379,11883.95,11255.937,11704.650000000001
111,11877.45,11877.45,2019-10-31,11945.0,11855.1,11771.966363197873,11771.966363197873,11548.391198692101,11548.391198692101,11809.4,11239.081,11674.225000000002
112,11843.65,11843.65,2019-10-30,11883.95,11784.45,11719.224544796807,11719.224544796807,11513.753430133374,11513.753430133374,11672.4,11222.120000000003,11632.880000000001
113,11786.85,11786.85,2019-10-29,11809.4,11627.35,11657.011817195209,11657.011817195209,11479.02747541057,11479.02747541057,11646.9,11203.764000000001,11591.345000000003
114,11627.15,11627.15,2019-10-27,11672.4,11604.6,11592.092725792812,11592.092725792812,11446.625104401155,11446.625104401155,11646.9,11190.220000000003,11546.775000000001
115,11583.9,11583.9,2019-10-25,11646.9,11490.75,11574.564088689218,11574.564088689218,11427.622483811803,11427.622483811803,11646.9,11178.326000000001,11514.565000000002
116,11582.6,11582.6,2019-10-24,11679.6,11534.65,11569.896133033826,11569.896133033826,11411.172218949887,11411.172218949887,11651.6,11163.758,11479.630000000003
117,11604.1,11604.1,2019-10-23,11651.6,11554.4,11563.544199550737,11563.544199550737,11393.127189365663,11393.127189365663,11651.6,11151.071000000002,11452.700000000003
118,11588.35,11588.35,2019-10-22,11714.35,11573.65,11543.266299326104,11543.266299326104,11370.919525088364,11370.919525088364,11599.1,11136.241000000002,11404.930000000002
119,11661.85,11661.85,2019-10-18,11684.7,11553.15,11520.724448989155,11520.724448989155,11348.032106676614,11348.032106676614,11481.05,11124.421,11363.570000000002
120,11586.35,11586.35,2019-10-17,11599.1,11439.65,11450.161673483732,11450.161673483732,11314.998644221521,11314.998644221521,11462.35,11110.784000000001,11328.785
121,11464.0,11464.0,2019-10-16,11481.05,11411.1,11382.067510225595,11382.067510225595,11286.435343613259,11286.435343613259,11420.45,11101.417000000001,11306.14
122,11428.3,11428.3,2019-10-15,11462.35,11342.1,11341.101265338393,11341.101265338393,11267.744327151495,11267.744327151495,11362.9,11093.845000000003,11307.185
123,11341.15,11341.15,2019-10-14,11420.45,11290.05,11297.50189800759,11297.50189800759,11250.843730009547,11250.843730009547,11293.35,11089.063,11315.594999999998
124,11305.05,11305.05,2019-10-11,11362.9,11189.4,11275.677847011382,11275.677847011382,11241.337806852656,11241.337806852656,11293.35,11087.926000000001,11338.599999999999
125,11234.55,11234.55,2019-10-10,11293.35,11208.55,11260.991770517074,11260.991770517074,11234.631260205568,11234.631260205568,11233.85,11086.868,11352.114999999998
126,11313.3,11313.3,2019-10-09,11321.6,11090.15,11274.212655775611,11274.212655775611,11234.639813911415,11234.639813911415,11233.85,11087.603000000001,11387.479999999998
127,11126.4,11126.4,2019-10-07,11233.85,11112.65,11254.668983663416,11254.668983663416,11226.359794323143,11226.359794323143,11233.85,11087.958,11416.169999999996
128,11174.75,11174.75,2019-10-04,11400.3,11158.35,11318.803475495122,11318.803475495122,11236.881877936106,11236.881877936106,11370.4,11092.354,11430.944999999996
129,11314.0,11314.0,2019-10-03,11370.4,11257.35,11390.830213242682,11390.830213242682,11243.422075613591,11243.422075613591,11370.4,11097.243999999999,11383.949999999997
